fold,model,roc_auc,pr_auc,accuracy,precision,recall,f1,dataset,group,group_label,n_meta_features,seed
1,Logistic Regression,0.9989,0.9976,0.9952,0.995,0.9955,0.9953,Taxi,all,all,36,42
1,Random Forest,0.9969,0.9968,0.9812,0.9883,0.974,0.9811,Taxi,all,all,36,42
1,MLP,0.9987,0.9975,0.9885,0.988,0.989,0.9885,Taxi,all,all,36,42
2,Logistic Regression,0.9964,0.9944,0.9868,0.9803,0.9935,0.9868,Taxi,all,all,36,42
2,Random Forest,0.9937,0.9935,0.9745,0.9774,0.9715,0.9744,Taxi,all,all,36,42
2,MLP,0.996,0.9959,0.9575,0.9316,0.9875,0.9587,Taxi,all,all,36,42
3,Logistic Regression,0.9979,0.9975,0.9918,0.9881,0.9955,0.9918,Taxi,all,all,36,42
3,Random Forest,0.9958,0.9952,0.976,0.9803,0.9715,0.9759,Taxi,all,all,36,42
3,MLP,0.9981,0.9976,0.9838,0.9778,0.99,0.9839,Taxi,all,all,36,42
4,Logistic Regression,0.9973,0.9957,0.9938,0.9891,0.9985,0.9938,Taxi,all,all,36,42
4,Random Forest,0.9959,0.9943,0.984,0.9816,0.9865,0.984,Taxi,all,all,36,42
4,MLP,0.9967,0.9937,0.9868,0.9793,0.9945,0.9869,Taxi,all,all,36,42
5,Logistic Regression,0.9996,0.9996,0.992,0.9896,0.9945,0.992,Taxi,all,all,36,42
5,Random Forest,0.9962,0.9968,0.977,0.9813,0.9725,0.9769,Taxi,all,all,36,42
5,MLP,0.9982,0.9983,0.974,0.9575,0.992,0.9745,Taxi,all,all,36,42
1,Logistic Regression,0.9973,0.9964,0.989,0.9895,0.9885,0.989,Taxi,point_based,Point-based,8,42
1,Random Forest,0.9965,0.9956,0.984,0.9879,0.98,0.9839,Taxi,point_based,Point-based,8,42
1,MLP,0.9975,0.996,0.989,0.9846,0.9935,0.989,Taxi,point_based,Point-based,8,42
2,Logistic Regression,0.9954,0.9926,0.9802,0.9757,0.985,0.9803,Taxi,point_based,Point-based,8,42
2,Random Forest,0.9947,0.9937,0.9795,0.9819,0.977,0.9794,Taxi,point_based,Point-based,8,42
2,MLP,0.9962,0.994,0.9795,0.9724,0.987,0.9797,Taxi,point_based,Point-based,8,42
3,Logistic Regression,0.9977,0.9971,0.9882,0.9861,0.9905,0.9883,Taxi,point_based,Point-based,8,42
3,Random Forest,0.9963,0.9951,0.9842,0.9869,0.9815,0.9842,Taxi,point_based,Point-based,8,42
3,MLP,0.9973,0.9952,0.9858,0.9793,0.9925,0.9858,Taxi,point_based,Point-based,8,42
4,Logistic Regression,0.997,0.9954,0.9878,0.9851,0.9905,0.9878,Taxi,point_based,Point-based,8,42
