dataset,group,model,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,classifier_spread
ACS Accidents,all,Logistic Regression,1.0,0.0,1.0,0.0,0.99976,0.0003286335345031361,0.0
ACS Accidents,all,MLP,0.9989799999999999,0.0016528762809115772,0.99914,0.0013921206844235983,0.9994999999999999,0.0008246211251235481,0.0038000000000000256
ACS Accidents,all,Random Forest,1.0,0.0,1.0,0.0,1.0,0.0,0.0
ACS Accidents,base,Logistic Regression,0.9815400000000001,0.010946597644930639,0.90578,0.04364478204780043,0.8312200000000001,0.05916136408163693,0.025600000000000067
ACS Accidents,base,MLP,0.9979800000000001,0.0007823042886243441,0.9902599999999999,0.003855256152319829,0.9529,0.009420456464524461,0.0018000000000000238
ACS Accidents,base,Random Forest,0.9977600000000001,0.0008734987120769151,0.98758,0.004402499290175991,0.94242,0.01042242774021486,0.0022000000000000908
ACS Accidents,interaction_informational,Logistic Regression,0.9483,0.006710812171414157,0.79188,0.03646432503146054,0.6615,0.02626775589958158,0.018900000000000028
ACS Accidents,interaction_informational,MLP,0.962,0.008928325710904642,0.85246,0.03666991955267969,0.7636200000000001,0.031115703430904477,0.02200000000000002
ACS Accidents,interaction_informational,Random Forest,0.97172,0.003614830563110821,0.8817600000000001,0.016550921424500795,0.8009600000000001,0.01574191856159851,0.008200000000000096
ACS Accidents,interaction_statistical,Logistic Regression,0.99024,0.0027153268679847575,0.94034,0.015924132629440146,0.90148,0.025499745096765225,0.00649999999999995
ACS Accidents,interaction_statistical,MLP,0.9972,0.001426534261768729,0.9871399999999999,0.0046014128265131895,0.95974,0.0067832882881387535,0.0038000000000000256
ACS Accidents,interaction_statistical,Random Forest,0.99924,0.0002607680962081272,0.99562,0.0012676750372236977,0.9688000000000001,0.007756287771866111,0.0007000000000000339
ACS Accidents,marginal_informational,Logistic Regression,0.9434799999999999,0.010917279880995978,0.76668,0.02446041700380436,0.65138,0.03433499672345991,0.029799999999999938
ACS Accidents,marginal_informational,MLP,0.96562,0.006451898945271856,0.87324,0.021909198981249874,0.78288,0.023160138168845257,0.015900000000000025
ACS Accidents,marginal_informational,Random Forest,0.97242,0.003464390278245213,0.88462,0.014542248794460902,0.80166,0.014349146316070503,0.007600000000000051
ACS Accidents,marginal_statistical,Logistic Regression,0.96308,0.004526256731560879,0.8420799999999999,0.024996839800262734,0.70668,0.026320182370188832,0.012300000000000089
ACS Accidents,marginal_statistical,MLP,0.97348,0.004977650047964367,0.8965,0.0189681311678299,0.8086800000000001,0.02222559335540892,0.0121
ACS Accidents,marginal_statistical,Random Forest,0.9717,0.0034263683398023715,0.8821999999999999,0.014770917371646238,0.79596,0.017947367494983785,0.008199999999999985
ACS Accidents,point_based,Logistic Regression,0.9997400000000001,0.0005813776741499185,0.99978,0.0004919349550499491,0.9997400000000001,0.0005813776741499185,0.0012999999999999678
ACS Accidents,point_based,MLP,0.9989799999999999,0.0016528762809115772,0.99914,0.0013921206844235983,0.9994999999999999,0.0008246211251235481,0.0038000000000000256
ACS Accidents,point_based,Random Forest,1.0,0.0,1.0,0.0,1.0,0.0,0.0
California,all,Logistic Regression,0.99002,0.0017340703561275084,0.98892,0.0032820725159569443,0.94962,0.005766021158476581,0.0037000000000000366
California,all,MLP,0.9907199999999999,0.0011755849607748303,0.99038,0.0015833508770957511,0.9505000000000001,0.005081338406364972,0.0023999999999999577
California,all,Random Forest,0.99362,0.0009257429448826565,0.99306,0.001011434624679216,0.9578599999999999,0.004593800169794085,0.0023999999999999577
California,base,Logistic Regression,0.98056,0.011177343154793093,0.9712,0.018983018727273093,0.94298,0.011308713454677294,0.030000000000000027
California,base,MLP,0.9812799999999999,0.005644643478555569,0.9734400000000001,0.010365953887607249,0.9414999999999999,0.008136030973392362,0.015499999999999958
California,base,Random Forest,0.98614,0.004867545582734671,0.98002,0.008302830842550037,0.9545199999999999,0.006441428413015216,0.013299999999999979
California,interaction_informational,Logistic Regression,0.9688399999999999,0.011491431590537352,0.9515,0.018479177470872483,0.9492,0.007245343332099568,0.031200000000000006
California,interaction_informational,MLP,0.9624600000000001,0.010746999581278525,0.93994,0.01860008064498641,0.92766,0.011481202027662401,0.029400000000000093
California,interaction_informational,Random Forest,0.96876,0.012275300403656068,0.9498599999999999,0.019644032172647242,0.9487399999999999,0.008429294157875803,0.03359999999999996
California,interaction_statistical,Logistic Regression,0.9827999999999999,0.00829337084664621,0.97148,0.01902713851318691,0.94978,0.008943545158380962,0.021600000000000064
California,interaction_statistical,MLP,0.98436,0.004070380817564811,0.97966,0.00796605297496824,0.9396000000000001,0.0063800470217702816,0.009800000000000031
California,interaction_statistical,Random Forest,0.98984,0.0033117970952339587,0.98688,0.004641336014554431,0.9554600000000001,0.007072693970475533,0.009000000000000008
California,marginal_informational,Logistic Regression,0.96926,0.011708244958148074,0.95128,0.01847097723456989,0.9498200000000001,0.006892532190711944,0.032299999999999995
California,marginal_informational,MLP,0.96146,0.012568532133865077,0.9348000000000001,0.02388817699197663,0.92856,0.014625081196355787,0.03479999999999994
California,marginal_informational,Random Forest,0.96754,0.01228751398778456,0.94712,0.019583079430978152,0.9482200000000001,0.009004832036190359,0.033299999999999996
California,marginal_statistical,Logistic Regression,0.9692000000000001,0.011471268456452374,0.95258,0.018008386934981174,0.9505000000000001,0.007682772936902382,0.03149999999999997
California,marginal_statistical,MLP,0.9615199999999999,0.012461019219951481,0.93908,0.01944960153833496,0.9206199999999999,0.01146241684811715,0.0343
California,marginal_statistical,Random Forest,0.96874,0.012056865264238492,0.95,0.01937872544828477,0.9486399999999999,0.009245701704035209,0.03249999999999997
California,point_based,Logistic Regression,0.9863799999999999,0.002012958022413759,0.98436,0.0031934307570386103,0.9429399999999999,0.005786881716434147,0.004999999999999893
California,point_based,MLP,0.9827999999999999,0.0018303005217723308,0.9776,0.0035503520952153483,0.93688,0.004255232073577229,0.0046000000000000485
California,point_based,Random Forest,0.9925,0.0008803408430829583,0.9921,0.0009617692030835539,0.95486,0.005045096629401637,0.0019000000000000128
Electricity,all,Logistic Regression,0.97004,0.0019243180610283702,0.9620799999999999,0.0016724233913695886,0.91476,0.0029602364770402855,0.0049000000000000155
Electricity,all,MLP,0.9706400000000001,0.0020305171754999144,0.9629200000000001,0.0021936271333113876,0.91852,0.003880335037081211,0.0047000000000000375
Electricity,all,Random Forest,0.9765599999999999,0.0015517731793016237,0.9720000000000001,0.0025680732076792845,0.92046,0.0034803735431703205,0.0035999999999999366
Electricity,base,Logistic Regression,0.94106,0.005128157563881974,0.9192600000000001,0.012622321498044684,0.88942,0.005456372421307061,0.011799999999999922
Electricity,base,MLP,0.9564199999999999,0.002939727878562903,0.9438599999999999,0.005606959960620387,0.8953200000000001,0.005607316648808039,0.007800000000000029
Electricity,base,Random Forest,0.9654,0.003707424982383351,0.9555400000000001,0.006338611835410006,0.90898,0.005105095493719974,0.009000000000000008
Electricity,interaction_informational,Logistic Regression,0.93678,0.004175763403259301,0.9188600000000001,0.003943095230906743,0.87748,0.0144293797510496,0.010599999999999943
Electricity,interaction_informational,MLP,0.9581800000000001,0.0030784736477676576,0.9468799999999999,0.0045669464634480105,0.8971,0.005644466316667956,0.008000000000000007
Electricity,interaction_informational,Random Forest,0.95984,0.001980656456834454,0.94542,0.004892545349815376,0.9026,0.002682349716200336,0.0048000000000000265
Electricity,interaction_statistical,Logistic Regression,0.95678,0.002080144225768969,0.94268,0.005718129064650459,0.9017199999999999,0.0017253985046939142,0.005299999999999971
Electricity,interaction_statistical,MLP,0.9672600000000001,0.0012817956155331454,0.95878,0.0034773553169039416,0.90958,0.0037171225430431896,0.0030999999999999917
Electricity,interaction_statistical,Random Forest,0.9746,0.00041833001326706053,0.9686600000000001,0.0004979959839195296,0.9202600000000001,0.0026396969523034253,0.0010000000000000009
Electricity,marginal_informational,Logistic Regression,0.9369400000000001,0.0048588064377992676,0.9190200000000001,0.0032980297148449437,0.8795200000000001,0.012608806446289814,0.010499999999999954
Electricity,marginal_informational,MLP,0.9601599999999999,0.002326585480914019,0.9515,0.004414748010928861,0.8977600000000001,0.004286956962695106,0.006299999999999972
Electricity,marginal_informational,Random Forest,0.96022,0.0017355114519933387,0.94682,0.004295579122772627,0.9032199999999999,0.0033093806066996903,0.0035999999999999366
Electricity,marginal_statistical,Logistic Regression,0.93842,0.0036995945723822463,0.9210200000000001,0.0019331321734428824,0.8802199999999999,0.013787204212602365,0.008400000000000074
Electricity,marginal_statistical,MLP,0.9590400000000001,0.0022744230037527544,0.9496399999999999,0.0032369738954770412,0.8977599999999999,0.004004122875237504,0.006199999999999983
Electricity,marginal_statistical,Random Forest,0.96006,0.002075572210259166,0.9461,0.004965380146574849,0.90258,0.0025820534463871607,0.0043999999999999595
Electricity,point_based,Logistic Regression,0.9667,0.0029043071462915085,0.9585800000000001,0.004954997477295041,0.9094599999999999,0.0040728368491752525,0.007399999999999962
Electricity,point_based,MLP,0.9655799999999999,0.003882911278924614,0.9551399999999999,0.0051198632794245275,0.9149,0.0036993242626187617,0.009800000000000031
Electricity,point_based,Random Forest,0.9738,0.0021575449010391348,0.9681599999999999,0.0034989998571020335,0.91776,0.003077823906593785,0.005299999999999971
Income,all,Logistic Regression,0.9173600000000001,0.0012876334882255954,0.8228,0.0042195971371684635,0.76568,0.0011924764148610904,0.0030999999999999917
Income,all,MLP,0.90356,0.0012837445228705041,0.7958000000000001,0.003947784188630367,0.74388,0.003723842101915737,0.0030000000000000027
Income,all,Random Forest,0.9131199999999999,0.0022038602496528233,0.8018599999999999,0.009282941344207658,0.76216,0.00567917247492976,0.0047999999999999154
Income,base,Logistic Regression,0.90876,0.0019256167843057055,0.8091200000000001,0.004287423468704718,0.74788,0.005270863306897628,0.005099999999999993
Income,base,MLP,0.9004200000000001,0.004818402224804347,0.79164,0.012294429632967938,0.7329399999999999,0.007971699944177527,0.011399999999999966
Income,base,Random Forest,0.9056200000000001,0.0028839209420509428,0.78134,0.007993935201138424,0.75048,0.0035968041370082983,0.006700000000000039
Income,interaction_informational,Logistic Regression,0.9180400000000001,0.004421877429327958,0.82272,0.013518579807065534,0.7696,0.004254409477236547,0.010199999999999987
Income,interaction_informational,MLP,0.89756,0.004222321636256492,0.77534,0.015622835850126582,0.7300000000000001,0.009133454987024356,0.010099999999999998
Income,interaction_informational,Random Forest,0.90328,0.003921351807731628,0.7701,0.014308913306048096,0.7517400000000001,0.006460108358224354,0.009700000000000042
Income,interaction_statistical,Logistic Regression,0.9170999999999999,0.0022349496638626697,0.82354,0.003587199464763592,0.76144,0.0033373642294481382,0.0050000000000000044
Income,interaction_statistical,MLP,0.90208,0.0034859718874368445,0.79278,0.00829318997732479,0.73562,0.004333820485437734,0.009199999999999986
Income,interaction_statistical,Random Forest,0.9122199999999999,0.0016238842323269198,0.79876,0.007870705178063748,0.756,0.005180250959171846,0.0039000000000000146
