fold,model,roc_auc,pr_auc,accuracy,precision,recall,f1,dataset,partition_fit_data,seed
1,Logistic Regression,0.9989,0.9976,0.9952,0.995,0.9955,0.9953,Taxi,id,42
1,Random Forest,0.9969,0.9968,0.9812,0.9883,0.974,0.9811,Taxi,id,42
1,MLP,0.9987,0.9975,0.9885,0.988,0.989,0.9885,Taxi,id,42
2,Logistic Regression,0.9964,0.9944,0.9868,0.9803,0.9935,0.9868,Taxi,id,42
2,Random Forest,0.9937,0.9935,0.9745,0.9774,0.9715,0.9744,Taxi,id,42
2,MLP,0.996,0.9959,0.9575,0.9316,0.9875,0.9587,Taxi,id,42
3,Logistic Regression,0.9979,0.9975,0.9918,0.9881,0.9955,0.9918,Taxi,id,42
3,Random Forest,0.9958,0.9952,0.976,0.9803,0.9715,0.9759,Taxi,id,42
3,MLP,0.9981,0.9976,0.9838,0.9778,0.99,0.9839,Taxi,id,42
4,Logistic Regression,0.9973,0.9957,0.9938,0.9891,0.9985,0.9938,Taxi,id,42
4,Random Forest,0.9959,0.9943,0.984,0.9816,0.9865,0.984,Taxi,id,42
4,MLP,0.9967,0.9937,0.9868,0.9793,0.9945,0.9869,Taxi,id,42
5,Logistic Regression,0.9996,0.9996,0.992,0.9896,0.9945,0.992,Taxi,id,42
5,Random Forest,0.9962,0.9968,0.977,0.9813,0.9725,0.9769,Taxi,id,42
5,MLP,0.9982,0.9983,0.974,0.9575,0.992,0.9745,Taxi,id,42
1,Logistic Regression,0.9972,0.9972,0.9718,0.9725,0.971,0.9717,Taxi,id+ood,42
1,Random Forest,0.9894,0.9896,0.9433,0.9421,0.9445,0.9433,Taxi,id+ood,42
1,MLP,0.9945,0.9947,0.959,0.9717,0.9455,0.9584,Taxi,id+ood,42
2,Logistic Regression,0.9926,0.9931,0.957,0.957,0.957,0.957,Taxi,id+ood,42
2,Random Forest,0.9882,0.9882,0.936,0.9382,0.9335,0.9358,Taxi,id+ood,42
2,MLP,0.9955,0.9956,0.9663,0.9656,0.967,0.9663,Taxi,id+ood,42
3,Logistic Regression,0.9933,0.9933,0.9607,0.9624,0.959,0.9607,Taxi,id+ood,42
3,Random Forest,0.9775,0.9776,0.9143,0.9136,0.915,0.9143,Taxi,id+ood,42
3,MLP,0.9899,0.99,0.9477,0.9418,0.9545,0.9481,Taxi,id+ood,42
4,Logistic Regression,0.9841,0.985,0.9267,0.9291,0.924,0.9265,Taxi,id+ood,42
4,Random Forest,0.9682,0.969,0.8938,0.8979,0.8885,0.8932,Taxi,id+ood,42
4,MLP,0.9905,0.9911,0.9477,0.948,0.9475,0.9477,Taxi,id+ood,42
5,Logistic Regression,0.9843,0.9846,0.9277,0.9192,0.938,0.9285,Taxi,id+ood,42
5,Random Forest,0.9664,0.9682,0.899,0.8908,0.9095,0.9,Taxi,id+ood,42
5,MLP,0.991,0.9913,0.9487,0.9367,0.9625,0.9494,Taxi,id+ood,42
1,Logistic Regression,0.9694,0.9611,0.912,0.8824,0.9511,0.9154,Electricity,id,42
1,Random Forest,0.9765,0.972,0.9163,0.8847,0.9576,0.9197,Electricity,id,42
1,MLP,0.9715,0.9634,0.9163,0.8938,0.9451,0.9187,Electricity,id,42
2,Logistic Regression,0.9696,0.9606,0.9127,0.8787,0.9581,0.9166,Electricity,id,42
2,Random Forest,0.9747,0.968,0.914,0.8789,0.9606,0.9179,Electricity,id,42
2,MLP,0.969,0.961,0.9167,0.8957,0.9436,0.919,Electricity,id,42
3,Logistic Regression,0.9723,0.9644,0.9107,0.8796,0.9521,0.9144,Electricity,id,42
3,Random Forest,0.9779,0.9742,0.917,0.881,0.9646,0.9209,Electricity,id,42
3,MLP,0.972,0.966,0.9095,0.8772,0.9526,0.9134,Electricity,id,42
4,Logistic Regression,0.9715,0.961,0.9145,0.8879,0.9491,0.9175,Electricity,id,42
4,Random Forest,0.9783,0.9743,0.923,0.89,0.9656,0.9262,Electricity,id,42
4,MLP,0.9727,0.9636,0.9225,0.906,0.9431,0.9242,Electricity,id,42
5,Logistic Regression,0.9674,0.9633,0.9062,0.8764,0.9461,0.9099,Electricity,id,42
5,Random Forest,0.9754,0.9715,0.914,0.8813,0.957,0.9176,Electricity,id,42
5,MLP,0.968,0.9606,0.9142,0.8864,0.9505,0.9173,Electricity,id,42
1,Logistic Regression,0.938,0.9148,0.8865,0.8152,1.0,0.8982,Electricity,id+ood,42
1,Random Forest,0.9758,0.9702,0.9205,0.887,0.9641,0.9239,Electricity,id+ood,42
1,MLP,0.9714,0.9649,0.9085,0.8971,0.9231,0.9099,Electricity,id+ood,42
2,Logistic Regression,0.9033,0.857,0.8555,0.7763,0.9995,0.8739,Electricity,id+ood,42
2,Random Forest,0.9763,0.9718,0.9163,0.8791,0.9656,0.9203,Electricity,id+ood,42
2,MLP,0.9714,0.9653,0.9103,0.9085,0.9126,0.9106,Electricity,id+ood,42
3,Logistic Regression,0.9666,0.9606,0.8998,0.8761,0.9316,0.903,Electricity,id+ood,42
3,Random Forest,0.9785,0.9753,0.923,0.8897,0.9661,0.9263,Electricity,id+ood,42
3,MLP,0.9719,0.9652,0.9125,0.9185,0.9056,0.912,Electricity,id+ood,42
