dataset,model,left,right,statistic,p_value,mean_diff
Taxi,Logistic Regression,id+ood,id,0.0,0.0625,-0.007720000000000016
Taxi,Random Forest,id+ood,id,0.0,0.0625,-0.01776000000000002
Taxi,MLP,id+ood,id,0.0,0.0625,-0.005259999999999976
Electricity,Logistic Regression,id+ood,id,0.0,0.0625,-0.025560000000000048
Electricity,Random Forest,id+ood,id,7.0,1.0,0.00011999999999998679
Electricity,MLP,id+ood,id,7.0,1.0,0.00038000000000002474
Income,Logistic Regression,id+ood,id,0.0,0.0625,0.008639999999999958
Income,Random Forest,id+ood,id,6.5,1.0,0.0004599999999999937
Income,MLP,id+ood,id,5.0,0.625,-0.0009399999999999853
MVx6,Logistic Regression,id+ood,id,0.0,0.0625,0.009020000000000028
MVx6,Random Forest,id+ood,id,1.0,0.125,0.004320000000000013
MVx6,MLP,id+ood,id,1.0,0.125,0.005879999999999974
California,Logistic Regression,id+ood,id,0.0,0.0625,0.0018600000000000394
California,Random Forest,id+ood,id,3.0,0.3125,0.00040000000000000034
California,MLP,id+ood,id,4.5,0.4375,-0.0006200000000000205
ACS Accidents,Logistic Regression,id+ood,id,0.0,0.31731050786291415,-0.00027999999999999136
ACS Accidents,Random Forest,id+ood,id,0.0,1.0,0.0
ACS Accidents,MLP,id+ood,id,5.0,0.58621368107314,0.0007199999999999874
