dataset,partition_fit_data,model,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,classifier_spread
ACS Accidents,id,Logistic Regression,1.0,0.0,1.0,0.0,0.99976,0.0003286335345031361,0.0
ACS Accidents,id,MLP,0.9989799999999999,0.0016528762809115772,0.99914,0.0013921206844235983,0.9994999999999999,0.0008246211251235481,0.0038000000000000256
ACS Accidents,id,Random Forest,1.0,0.0,1.0,0.0,1.0,0.0,0.0
ACS Accidents,id+ood,Logistic Regression,0.9997199999999999,0.0006260990336998862,0.99954,0.0010285912696498985,0.70332,0.4056528035155187,0.0013999999999999568
ACS Accidents,id+ood,MLP,0.9997,0.00037416573867741907,0.99672,0.004031997023808443,0.9981199999999999,0.0023520204080747322,0.0008000000000000229
ACS Accidents,id+ood,Random Forest,1.0,0.0,1.0,0.0,0.9998799999999999,0.00026832815730000106,0.0
California,id,Logistic Regression,0.99002,0.0017340703561275084,0.98892,0.0032820725159569443,0.94962,0.005766021158476581,0.0037000000000000366
California,id,MLP,0.9907199999999999,0.0011755849607748303,0.99038,0.0015833508770957511,0.9505000000000001,0.005081338406364972,0.0023999999999999577
California,id,Random Forest,0.99362,0.0009257429448826565,0.99306,0.001011434624679216,0.9578599999999999,0.004593800169794085,0.0023999999999999577
California,id+ood,Logistic Regression,0.9918800000000001,0.0007628892449104344,0.98942,0.004056722815278395,0.95496,0.0016607227342335092,0.0018000000000000238
California,id+ood,MLP,0.9901,0.0003674234614174287,0.9888199999999999,0.0008228000972289506,0.9512599999999999,0.0043333589742831045,0.0008999999999999009
California,id+ood,Random Forest,0.9940200000000001,0.0006099180272790757,0.99328,0.0008584870412534092,0.9585799999999999,0.0022565460332109365,0.0014000000000000679
Electricity,id,Logistic Regression,0.97004,0.0019243180610283702,0.9620799999999999,0.0016724233913695886,0.91476,0.0029602364770402855,0.0049000000000000155
Electricity,id,MLP,0.9706400000000001,0.0020305171754999144,0.9629200000000001,0.0021936271333113876,0.91852,0.003880335037081211,0.0047000000000000375
Electricity,id,Random Forest,0.9765599999999999,0.0015517731793016237,0.9720000000000001,0.0025680732076792845,0.92046,0.0034803735431703205,0.0035999999999999366
Electricity,id+ood,Logistic Regression,0.9444800000000001,0.026097643571786375,0.9263,0.04300697617829,0.8956200000000001,0.013755980517578524,0.06330000000000002
Electricity,id+ood,MLP,0.97102,0.0014906374475371163,0.9646399999999999,0.002911700534052232,0.9096,0.0023075961518428546,0.0035999999999999366
Electricity,id+ood,Random Forest,0.97668,0.0010497618777608759,0.97244,0.0018447222013083752,0.9218400000000001,0.0031429285706169024,0.0027000000000000357
Income,id,Logistic Regression,0.9173600000000001,0.0012876334882255954,0.8228,0.0042195971371684635,0.76568,0.0011924764148610904,0.0030999999999999917
Income,id,MLP,0.90356,0.0012837445228705041,0.7958000000000001,0.003947784188630367,0.74388,0.003723842101915737,0.0030000000000000027
Income,id,Random Forest,0.9131199999999999,0.0022038602496528233,0.8018599999999999,0.009282941344207658,0.76216,0.00567917247492976,0.0047999999999999154
Income,id+ood,Logistic Regression,0.9259999999999999,0.0017219175357722116,0.8414400000000001,0.006417787780847903,0.77608,0.00141315250415517,0.0045999999999999375
Income,id+ood,MLP,0.90262,0.0030703420004944753,0.7925,0.0086518784087619,0.73662,0.009025076176963897,0.008400000000000074
Income,id+ood,Random Forest,0.91358,0.0022387496510328916,0.80292,0.006574724328821711,0.7604599999999999,0.004591622806808062,0.00539999999999996
MVx6,id,Logistic Regression,0.78468,0.004421198932416399,0.84824,0.0024541801074901537,0.68572,0.003953100049328376,0.011099999999999999
MVx6,id,MLP,0.77508,0.0045240468609421035,0.8337199999999999,0.002414953415699775,0.6877800000000001,0.004261103143553328,0.009099999999999997
MVx6,id,Random Forest,0.78804,0.004738459665334319,0.84952,0.003065452658254553,0.70774,0.004785707889121522,0.010700000000000043
MVx6,id+ood,Logistic Regression,0.7937000000000001,0.004979457801809356,0.8549599999999999,0.0031769482211707703,0.72956,0.0037739899310941763,0.012499999999999956
MVx6,id+ood,MLP,0.78096,0.005042122568918797,0.84382,0.002848157299026888,0.69632,0.002277498627881046,0.011500000000000066
MVx6,id+ood,Random Forest,0.7923600000000001,0.004169892084934597,0.8509,0.002439262183530087,0.72752,0.0033803845935041297,0.011299999999999977
Taxi,id,Logistic Regression,0.99802,0.0012676750372236749,0.99696,0.0019882152800942006,0.9919399999999999,0.0032090497035726926,0.0032000000000000917
Taxi,id,MLP,0.9975400000000001,0.0011371015785759813,0.9966000000000002,0.0018439088914585628,0.9785,0.012326394444443207,0.0027000000000000357
Taxi,id,Random Forest,0.9957,0.0011979148550710862,0.9953200000000001,0.0014788509052639364,0.9784599999999999,0.003972782400283193,0.0031999999999999806
Taxi,id+ood,Logistic Regression,0.9903000000000001,0.005838236034968106,0.99064,0.0055779028317101105,0.94888,0.020264550328097628,0.0131
Taxi,id+ood,MLP,0.99228,0.0025381095327034666,0.99254,0.00245418010749007,0.9539799999999999,0.008159473022199408,0.005600000000000049
Taxi,id+ood,Random Forest,0.9779399999999999,0.010779981447108292,0.97852,0.010178997986049505,0.9173199999999999,0.021836597720340998,0.02299999999999991
