descriptor,importance,dataset,model
out_of_range_count,2.306875116914831,Taxi,Logistic Regression
mahalanobis,0.9687683844621959,Taxi,Logistic Regression
log_likelihood,0.556005053939858,Taxi,Logistic Regression
local_outlier_factor_score,0.41244697000873615,Taxi,Logistic Regression
knn_distance_k,0.38958823383763025,Taxi,Logistic Regression
dist_to_median,0.3549105241020594,Taxi,Logistic Regression
normalized_dist,0.34422328697187327,Taxi,Logistic Regression
dist_to_mean,0.30448651911989005,Taxi,Logistic Regression
cosine_dist,0.2938712571051466,Taxi,Logistic Regression
n_beyond_2std,0.2359263293138309,Taxi,Logistic Regression
joint_entropy_pairwise_mean,0.1307850104268891,Taxi,Logistic Regression
skew_norm,0.13069873331720036,Taxi,Logistic Regression
marginal_kl_to_reference_mean,0.12993933627467938,Taxi,Logistic Regression
covariance_condition_number,0.12786014515706226,Taxi,Logistic Regression
median_abs_deviation_norm,0.12146026571561834,Taxi,Logistic Regression
quantile_surprisal_mean,0.11517229783428713,Taxi,Logistic Regression
mean_norm,0.11067883784044896,Taxi,Logistic Regression
kurtosis_norm,0.10700027662589177,Taxi,Logistic Regression
pairwise_mutual_info_max,0.10696554202588902,Taxi,Logistic Regression
total_correlation,0.10285230541973664,Taxi,Logistic Regression
pairwise_spearman_corr_mean_abs,0.0960641521087547,Taxi,Logistic Regression
density,0.0952001386706893,Taxi,Logistic Regression
trimmed_mean_norm,0.0948402972882116,Taxi,Logistic Regression
covariance_logdet,0.08900601461374444,Taxi,Logistic Regression
iqr_norm,0.08674428490933196,Taxi,Logistic Regression
std_norm,0.08333571274349441,Taxi,Logistic Regression
log_count,0.08168689618544367,Taxi,Logistic Regression
marginal_entropy_std,0.07769846459456271,Taxi,Logistic Regression
pairwise_js_divergence_mean,0.07541297101258418,Taxi,Logistic Regression
covariance_trace,0.07090375448806771,Taxi,Logistic Regression
pairwise_mutual_info_mean,0.06650463690180304,Taxi,Logistic Regression
marginal_entropy_mean,0.05726940426483227,Taxi,Logistic Regression
cell_entropy,0.05726940426483227,Taxi,Logistic Regression
mean_abs_correlation,0.04742609340584122,Taxi,Logistic Regression
partition_agreement_count,0.02779143375863557,Taxi,Logistic Regression
leaf_depth,0.019182578633201535,Taxi,Logistic Regression
out_of_range_count,0.034921641788337114,Taxi,Random Forest
local_outlier_factor_score,0.011064981592102171,Taxi,Random Forest
knn_distance_k,0.0030876788545887994,Taxi,Random Forest
mahalanobis,0.0025491865932293647,Taxi,Random Forest
log_likelihood,0.002368575751396016,Taxi,Random Forest
dist_to_mean,0.0017950077038069825,Taxi,Random Forest
dist_to_median,0.0017654609963775481,Taxi,Random Forest
normalized_dist,0.0017423257079567432,Taxi,Random Forest
cosine_dist,0.0014010307100467258,Taxi,Random Forest
marginal_entropy_std,0.0005689796470759168,Taxi,Random Forest
n_beyond_2std,0.000533975475919245,Taxi,Random Forest
mean_abs_correlation,0.0005275231657502634,Taxi,Random Forest
pairwise_mutual_info_mean,0.0004858360693597189,Taxi,Random Forest
pairwise_spearman_corr_mean_abs,0.00046971433873533544,Taxi,Random Forest
cell_entropy,0.0004453482918828183,Taxi,Random Forest
trimmed_mean_norm,0.0004435999353093494,Taxi,Random Forest
std_norm,0.0004419789782436877,Taxi,Random Forest
joint_entropy_pairwise_mean,0.0004315752213934785,Taxi,Random Forest
density,0.0004304394170559887,Taxi,Random Forest
marginal_entropy_mean,0.00042318132314806377,Taxi,Random Forest
mean_norm,0.00042097266401120825,Taxi,Random Forest
marginal_kl_to_reference_mean,0.0004188030779013642,Taxi,Random Forest
skew_norm,0.000414551159861879,Taxi,Random Forest
kurtosis_norm,0.00040859521004507626,Taxi,Random Forest
total_correlation,0.00040060389052697066,Taxi,Random Forest
log_count,0.0003917347857506248,Taxi,Random Forest
quantile_surprisal_mean,0.00037326741166617965,Taxi,Random Forest
pairwise_mutual_info_max,0.0003725380489006695,Taxi,Random Forest
pairwise_js_divergence_mean,0.0003661134479044507,Taxi,Random Forest
median_abs_deviation_norm,0.00036354962240007675,Taxi,Random Forest
covariance_logdet,0.00034671850271133446,Taxi,Random Forest
iqr_norm,0.00034172135218799905,Taxi,Random Forest
covariance_trace,0.00033890435010556526,Taxi,Random Forest
partition_agreement_count,0.0003052530933698207,Taxi,Random Forest
covariance_condition_number,0.0002667111676411899,Taxi,Random Forest
leaf_depth,4.920818716929058e-07,Taxi,Random Forest
out_of_range_count,2.218942068385849,Electricity,Logistic Regression
normalized_dist,0.6171628889067433,Electricity,Logistic Regression
dist_to_mean,0.6147854660222084,Electricity,Logistic Regression
local_outlier_factor_score,0.5995330760110136,Electricity,Logistic Regression
knn_distance_k,0.5979403278125094,Electricity,Logistic Regression
mahalanobis,0.563960068833412,Electricity,Logistic Regression
dist_to_median,0.33694111118651154,Electricity,Logistic Regression
log_likelihood,0.2811519147639637,Electricity,Logistic Regression
covariance_logdet,0.22038439719890643,Electricity,Logistic Regression
cosine_dist,0.2068199285891313,Electricity,Logistic Regression
skew_norm,0.19362421194694607,Electricity,Logistic Regression
covariance_condition_number,0.16384286288837815,Electricity,Logistic Regression
marginal_entropy_std,0.1600328187286412,Electricity,Logistic Regression
density,0.15983899360312767,Electricity,Logistic Regression
kurtosis_norm,0.14149221998710748,Electricity,Logistic Regression
n_beyond_2std,0.1402858937639381,Electricity,Logistic Regression
total_correlation,0.13550240452229753,Electricity,Logistic Regression
joint_entropy_pairwise_mean,0.13373891711068103,Electricity,Logistic Regression
pairwise_mutual_info_max,0.13263855458010335,Electricity,Logistic Regression
quantile_surprisal_mean,0.12293982215437071,Electricity,Logistic Regression
iqr_norm,0.12098152463928427,Electricity,Logistic Regression
log_count,0.11922239821023288,Electricity,Logistic Regression
pairwise_js_divergence_mean,0.11488862832309955,Electricity,Logistic Regression
std_norm,0.11203998629717939,Electricity,Logistic Regression
pairwise_mutual_info_mean,0.1104086188930392,Electricity,Logistic Regression
marginal_kl_to_reference_mean,0.11013271929657378,Electricity,Logistic Regression
mean_abs_correlation,0.10964422018493257,Electricity,Logistic Regression
covariance_trace,0.10605893833158979,Electricity,Logistic Regression
trimmed_mean_norm,0.10435042854197994,Electricity,Logistic Regression
mean_norm,0.10191430182960233,Electricity,Logistic Regression
marginal_entropy_mean,0.0965299970664036,Electricity,Logistic Regression
cell_entropy,0.0965299970664036,Electricity,Logistic Regression
pairwise_spearman_corr_mean_abs,0.09529566191422689,Electricity,Logistic Regression
median_abs_deviation_norm,0.06948890463625865,Electricity,Logistic Regression
leaf_depth,0.013506038949987613,Electricity,Logistic Regression
partition_agreement_count,0.010321208861533343,Electricity,Logistic Regression
knn_distance_k,0.02188388414273946,Electricity,Random Forest
local_outlier_factor_score,0.020166222810880343,Electricity,Random Forest
dist_to_mean,0.0035454951178019627,Electricity,Random Forest
log_likelihood,0.0034927227053018163,Electricity,Random Forest
dist_to_median,0.003097149983565674,Electricity,Random Forest
mahalanobis,0.00265107453341536,Electricity,Random Forest
normalized_dist,0.0024818412770156004,Electricity,Random Forest
cosine_dist,0.0018340762833763432,Electricity,Random Forest
out_of_range_count,0.0010337930428749428,Electricity,Random Forest
mean_abs_correlation,0.0010159375731807988,Electricity,Random Forest
pairwise_js_divergence_mean,0.0009867600493065505,Electricity,Random Forest
density,0.0006867627740004846,Electricity,Random Forest
std_norm,0.0006707611535024185,Electricity,Random Forest
iqr_norm,0.0006266009397655222,Electricity,Random Forest
pairwise_mutual_info_max,0.0005588686208582197,Electricity,Random Forest
cell_entropy,0.0005055809281649123,Electricity,Random Forest
marginal_entropy_std,0.00048048671151162237,Electricity,Random Forest
n_beyond_2std,0.00043682980592166454,Electricity,Random Forest
mean_norm,0.000403494750822452,Electricity,Random Forest
pairwise_spearman_corr_mean_abs,0.00036441142198811625,Electricity,Random Forest
covariance_logdet,0.0003626112047552728,Electricity,Random Forest
covariance_trace,0.0003593482127101614,Electricity,Random Forest
partition_agreement_count,0.0003438430620160291,Electricity,Random Forest
trimmed_mean_norm,0.00033312163145576926,Electricity,Random Forest
marginal_entropy_mean,0.0003189981715797482,Electricity,Random Forest
total_correlation,0.000307615158902149,Electricity,Random Forest
marginal_kl_to_reference_mean,0.000304978701157402,Electricity,Random Forest
kurtosis_norm,0.00028917766197039934,Electricity,Random Forest
