feature,descriptor,group,importance,dataset,model
quantile0__dist_to_mean,dist_to_mean,point_based,0.19264047762092248,Taxi,Logistic Regression
quantile0__normalized_dist,normalized_dist,point_based,0.15710324164307268,Taxi,Logistic Regression
quantile0__cosine_dist,cosine_dist,point_based,0.16883054389019858,Taxi,Logistic Regression
quantile0__dist_to_median,dist_to_median,point_based,0.2393459158962499,Taxi,Logistic Regression
quantile0__log_likelihood,log_likelihood,point_based,0.25064845450651624,Taxi,Logistic Regression
quantile0__local_outlier_factor_score,local_outlier_factor_score,point_based,0.7707026988935219,Taxi,Logistic Regression
quantile0__knn_distance_k,knn_distance_k,point_based,0.6145664791620961,Taxi,Logistic Regression
quantile0__out_of_range_count,out_of_range_count,point_based,3.831689894294714,Taxi,Logistic Regression
quantile0__mean_norm,mean_norm,marginal_statistical,0.16484637193829443,Taxi,Logistic Regression
quantile0__std_norm,std_norm,marginal_statistical,0.00031652764738908254,Taxi,Logistic Regression
quantile0__skew_norm,skew_norm,marginal_statistical,0.3252680875440387,Taxi,Logistic Regression
quantile0__kurtosis_norm,kurtosis_norm,marginal_statistical,0.23808222828391434,Taxi,Logistic Regression
quantile0__median_abs_deviation_norm,median_abs_deviation_norm,marginal_statistical,0.192142898331436,Taxi,Logistic Regression
quantile0__iqr_norm,iqr_norm,marginal_statistical,0.2747818421974744,Taxi,Logistic Regression
quantile0__trimmed_mean_norm,trimmed_mean_norm,marginal_statistical,0.09936263058517332,Taxi,Logistic Regression
quantile0__cell_entropy,cell_entropy,marginal_informational,0.21758698392560943,Taxi,Logistic Regression
quantile0__marginal_entropy_mean,marginal_entropy_mean,marginal_informational,0.21758698392560943,Taxi,Logistic Regression
quantile0__marginal_entropy_std,marginal_entropy_std,marginal_informational,0.09353855427211037,Taxi,Logistic Regression
quantile0__marginal_kl_to_reference_mean,marginal_kl_to_reference_mean,marginal_informational,0.10646017789929944,Taxi,Logistic Regression
quantile0__quantile_surprisal_mean,quantile_surprisal_mean,marginal_informational,0.16781316335205887,Taxi,Logistic Regression
quantile0__mahalanobis,mahalanobis,interaction_statistical,0.9707587050387294,Taxi,Logistic Regression
quantile0__covariance_trace,covariance_trace,interaction_statistical,0.0015724855287003563,Taxi,Logistic Regression
quantile0__covariance_logdet,covariance_logdet,interaction_statistical,0.10554963892943355,Taxi,Logistic Regression
quantile0__mean_abs_correlation,mean_abs_correlation,interaction_statistical,0.009570114352339351,Taxi,Logistic Regression
quantile0__pairwise_spearman_corr_mean_abs,pairwise_spearman_corr_mean_abs,interaction_statistical,0.25698308407865444,Taxi,Logistic Regression
quantile0__covariance_condition_number,covariance_condition_number,interaction_statistical,0.04446570959950059,Taxi,Logistic Regression
quantile0__pairwise_mutual_info_mean,pairwise_mutual_info_mean,interaction_informational,0.09517685187923342,Taxi,Logistic Regression
quantile0__pairwise_mutual_info_max,pairwise_mutual_info_max,interaction_informational,0.14732390158520423,Taxi,Logistic Regression
quantile0__total_correlation,total_correlation,interaction_informational,0.013102185457418963,Taxi,Logistic Regression
quantile0__joint_entropy_pairwise_mean,joint_entropy_pairwise_mean,interaction_informational,0.17040507802323515,Taxi,Logistic Regression
quantile0__pairwise_js_divergence_mean,pairwise_js_divergence_mean,interaction_informational,0.09939073010473136,Taxi,Logistic Regression
quantile0__log_count,log_count,base,0.1701535716211894,Taxi,Logistic Regression
