dataset,representation,lr_roc_auc,best_roc_auc,classifier_spread
ACS Accidents,meta,1.0,1.0,0.001020000000000132
ACS Accidents,meta_raw,1.0,1.0,0.000260000000000149
ACS Accidents,raw,0.5226599999999999,1.0,0.4773400000000001
California,meta,0.99002,0.99362,0.0035999999999999366
California,meta_raw,0.9904999999999999,0.99476,0.0042600000000000415
California,raw,0.99246,0.99634,0.0038799999999999946
Electricity,meta,0.97004,0.9765599999999999,0.006519999999999859
Electricity,meta_raw,0.9710000000000001,0.9774200000000001,0.006879999999999997
Electricity,raw,0.8030799999999999,0.9839800000000001,0.18090000000000017
Income,meta,0.9173600000000001,0.9173600000000001,0.013800000000000034
Income,meta_raw,0.9196199999999999,0.9196199999999999,0.017139999999999822
Income,raw,0.8703,0.9144,0.04410000000000003
MVx6,meta,0.78468,0.78804,0.012959999999999972
MVx6,meta_raw,0.78464,0.78808,0.012920000000000043
MVx6,raw,0.8054600000000001,0.8054600000000001,0.02185999999999999
Taxi,meta,0.99802,0.99802,0.0023199999999999887
Taxi,meta_raw,0.998,0.998,0.0007399999999999629
Taxi,raw,0.49432,0.9999399999999999,0.50562
