fold,model,roc_auc,pr_auc,accuracy,precision,recall,f1,dataset,representation,seed
1,Logistic Regression,0.4874,0.5178,0.49,0.4899,0.485,0.4874,Taxi,raw,42
1,Random Forest,0.9999,0.9999,0.9975,0.9955,0.9995,0.9975,Taxi,raw,42
1,MLP,0.8672,0.8811,0.7792,0.8001,0.7445,0.7713,Taxi,raw,42
2,Logistic Regression,0.4953,0.5002,0.4965,0.4966,0.5125,0.5044,Taxi,raw,42
2,Random Forest,1.0,1.0,0.9985,0.997,1.0,0.9985,Taxi,raw,42
2,MLP,0.8888,0.9043,0.805,0.8297,0.7675,0.7974,Taxi,raw,42
3,Logistic Regression,0.5013,0.4952,0.5028,0.5026,0.535,0.5183,Taxi,raw,42
3,Random Forest,0.9999,0.9999,0.9948,0.993,0.9965,0.9948,Taxi,raw,42
3,MLP,0.9277,0.933,0.8485,0.8538,0.841,0.8474,Taxi,raw,42
4,Logistic Regression,0.5021,0.5044,0.507,0.507,0.5105,0.5087,Taxi,raw,42
4,Random Forest,0.9999,0.9999,0.9968,0.994,0.9995,0.9968,Taxi,raw,42
4,MLP,0.9544,0.9592,0.88,0.8866,0.8715,0.879,Taxi,raw,42
5,Logistic Regression,0.4855,0.5137,0.4818,0.4826,0.506,0.494,Taxi,raw,42
5,Random Forest,1.0,1.0,0.9972,0.9945,1.0,0.9973,Taxi,raw,42
5,MLP,0.9393,0.9472,0.8555,0.8523,0.86,0.8561,Taxi,raw,42
1,Logistic Regression,0.9989,0.9976,0.9952,0.995,0.9955,0.9953,Taxi,meta,42
1,Random Forest,0.9969,0.9968,0.9812,0.9883,0.974,0.9811,Taxi,meta,42
1,MLP,0.9987,0.9975,0.9885,0.988,0.989,0.9885,Taxi,meta,42
2,Logistic Regression,0.9964,0.9944,0.9868,0.9803,0.9935,0.9868,Taxi,meta,42
2,Random Forest,0.9937,0.9935,0.9745,0.9774,0.9715,0.9744,Taxi,meta,42
2,MLP,0.996,0.9959,0.9575,0.9316,0.9875,0.9587,Taxi,meta,42
3,Logistic Regression,0.9979,0.9975,0.9918,0.9881,0.9955,0.9918,Taxi,meta,42
3,Random Forest,0.9958,0.9952,0.976,0.9803,0.9715,0.9759,Taxi,meta,42
3,MLP,0.9981,0.9976,0.9838,0.9778,0.99,0.9839,Taxi,meta,42
4,Logistic Regression,0.9973,0.9957,0.9938,0.9891,0.9985,0.9938,Taxi,meta,42
4,Random Forest,0.9959,0.9943,0.984,0.9816,0.9865,0.984,Taxi,meta,42
4,MLP,0.9967,0.9937,0.9868,0.9793,0.9945,0.9869,Taxi,meta,42
5,Logistic Regression,0.9996,0.9996,0.992,0.9896,0.9945,0.992,Taxi,meta,42
5,Random Forest,0.9962,0.9968,0.977,0.9813,0.9725,0.9769,Taxi,meta,42
5,MLP,0.9982,0.9983,0.974,0.9575,0.992,0.9745,Taxi,meta,42
1,Logistic Regression,0.9989,0.9975,0.9952,0.9945,0.996,0.9953,Taxi,meta_raw,42
1,Random Forest,0.9979,0.9977,0.9858,0.9914,0.98,0.9857,Taxi,meta_raw,42
1,MLP,0.9987,0.9974,0.9882,0.9865,0.99,0.9883,Taxi,meta_raw,42
2,Logistic Regression,0.9963,0.9944,0.9868,0.9803,0.9935,0.9868,Taxi,meta_raw,42
2,Random Forest,0.9964,0.9959,0.9818,0.9874,0.976,0.9816,Taxi,meta_raw,42
2,MLP,0.9955,0.995,0.9792,0.9776,0.981,0.9793,Taxi,meta_raw,42
3,Logistic Regression,0.9979,0.9975,0.9925,0.9886,0.9965,0.9925,Taxi,meta_raw,42
3,Random Forest,0.9985,0.9981,0.9855,0.9909,0.98,0.9854,Taxi,meta_raw,42
3,MLP,0.997,0.9973,0.9795,0.9757,0.9835,0.9796,Taxi,meta_raw,42
4,Logistic Regression,0.9973,0.9957,0.9932,0.9881,0.9985,0.9933,Taxi,meta_raw,42
4,Random Forest,0.9978,0.9974,0.9905,0.991,0.99,0.9905,Taxi,meta_raw,42
4,MLP,0.9968,0.9936,0.9888,0.9842,0.9935,0.9888,Taxi,meta_raw,42
5,Logistic Regression,0.9996,0.9996,0.992,0.9896,0.9945,0.992,Taxi,meta_raw,42
5,Random Forest,0.998,0.9983,0.9832,0.9884,0.978,0.9832,Taxi,meta_raw,42
5,MLP,0.9983,0.9984,0.9798,0.9776,0.982,0.9798,Taxi,meta_raw,42
1,Logistic Regression,0.8016,0.7595,0.7243,0.7066,0.7683,0.7362,Electricity,raw,42
1,Random Forest,0.9827,0.9794,0.9323,0.9073,0.9631,0.9344,Electricity,raw,42
1,MLP,0.9767,0.9731,0.9255,0.9058,0.9501,0.9274,Electricity,raw,42
2,Logistic Regression,0.7968,0.7609,0.739,0.7408,0.7364,0.7386,Electricity,raw,42
2,Random Forest,0.9828,0.9793,0.9317,0.9035,0.967,0.9342,Electricity,raw,42
2,MLP,0.9769,0.9725,0.9195,0.911,0.9301,0.9205,Electricity,raw,42
3,Logistic Regression,0.7989,0.7676,0.712,0.6976,0.7499,0.7228,Electricity,raw,42
3,Random Forest,0.9853,0.9831,0.9383,0.9118,0.9705,0.9403,Electricity,raw,42
3,MLP,0.9772,0.9752,0.9197,0.9222,0.9171,0.9196,Electricity,raw,42
4,Logistic Regression,0.7996,0.7698,0.7288,0.7232,0.7424,0.7327,Electricity,raw,42
4,Random Forest,0.9849,0.9821,0.9355,0.9098,0.967,0.9376,Electricity,raw,42
4,MLP,0.9793,0.9738,0.9277,0.9168,0.9411,0.9288,Electricity,raw,42
5,Logistic Regression,0.8185,0.7879,0.7419,0.7254,0.7797,0.7516,Electricity,raw,42
5,Random Forest,0.9842,0.9825,0.9307,0.9025,0.966,0.9332,Electricity,raw,42
5,MLP,0.9781,0.9755,0.92,0.9016,0.9431,0.9219,Electricity,raw,42
1,Logistic Regression,0.9694,0.9611,0.912,0.8824,0.9511,0.9154,Electricity,meta,42
1,Random Forest,0.9765,0.972,0.9163,0.8847,0.9576,0.9197,Electricity,meta,42
