dataset,representation,model,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,classifier_spread
ACS Accidents,meta,Logistic Regression,1.0,0.0,1.0,0.0,0.99976,0.0003286335345031361,0.0
ACS Accidents,meta,MLP,0.9989799999999999,0.0016528762809115772,0.99914,0.0013921206844235983,0.9994999999999999,0.0008246211251235481,0.0038000000000000256
ACS Accidents,meta,Random Forest,1.0,0.0,1.0,0.0,1.0,0.0,0.0
ACS Accidents,meta_raw,Logistic Regression,1.0,0.0,1.0,0.0,0.99976,0.0003286335345031361,0.0
ACS Accidents,meta_raw,MLP,0.9997399999999999,0.0005813776741499217,0.99978,0.0004919349550499611,0.9998799999999999,0.00026832815729999846,0.0012999999999999678
ACS Accidents,meta_raw,Random Forest,1.0,0.0,1.0,0.0,1.0,0.0,0.0
ACS Accidents,raw,Logistic Regression,0.5226599999999999,0.10544860359435776,0.17042,0.06469437378937985,0.24614000000000003,0.06877683476287638,0.2562
ACS Accidents,raw,MLP,0.9978400000000001,0.002040343108401132,0.99732,0.0016177144370994705,0.99544,0.0021663333076883816,0.0048000000000000265
ACS Accidents,raw,Random Forest,1.0,0.0,1.0,0.0,1.0,0.0,0.0
California,meta,Logistic Regression,0.99002,0.0017340703561275084,0.98892,0.0032820725159569443,0.94962,0.005766021158476581,0.0037000000000000366
California,meta,MLP,0.9907199999999999,0.0011755849607748303,0.99038,0.0015833508770957511,0.9505000000000001,0.005081338406364972,0.0023999999999999577
California,meta,Random Forest,0.99362,0.0009257429448826565,0.99306,0.001011434624679216,0.9578599999999999,0.004593800169794085,0.0023999999999999577
California,meta_raw,Logistic Regression,0.9904999999999999,0.001933907960581388,0.9895200000000001,0.0030449958949069333,0.95106,0.00668528234257905,0.0040999999999999925
California,meta_raw,MLP,0.9909399999999999,0.0019191143790821714,0.9903600000000001,0.002175545908502024,0.9498,0.0065463730416162845,0.0049000000000000155
California,meta_raw,Random Forest,0.99476,0.000870631954387171,0.9945599999999999,0.0009710818709048306,0.9600799999999999,0.00432573693143729,0.0021999999999999797
California,raw,Logistic Regression,0.99246,0.0008706319543871408,0.9917199999999999,0.0017935997323817458,0.9475,0.004506661735697489,0.0022999999999999687
California,raw,MLP,0.99376,0.0006426507605224017,0.9934200000000001,0.0010183319694480788,0.9582200000000001,0.004677285537574081,0.0013000000000000789
California,raw,Random Forest,0.99634,0.00043931765272979875,0.99604,0.000712741187248254,0.97066,0.003114963884220771,0.0010999999999999899
Electricity,meta,Logistic Regression,0.97004,0.0019243180610283702,0.9620799999999999,0.0016724233913695886,0.91476,0.0029602364770402855,0.0049000000000000155
Electricity,meta,MLP,0.9706400000000001,0.0020305171754999144,0.9629200000000001,0.0021936271333113876,0.91852,0.003880335037081211,0.0047000000000000375
Electricity,meta,Random Forest,0.9765599999999999,0.0015517731793016237,0.9720000000000001,0.0025680732076792845,0.92046,0.0034803735431703205,0.0035999999999999366
Electricity,meta_raw,Logistic Regression,0.9710000000000001,0.0016477257053284222,0.9635199999999999,0.001279453008124963,0.9158799999999999,0.003530863916947236,0.0043999999999999595
Electricity,meta_raw,MLP,0.9705400000000001,0.002231143204727082,0.9632799999999999,0.004395679697157229,0.9143399999999999,0.002132604042010587,0.005499999999999949
Electricity,meta_raw,Random Forest,0.9774200000000001,0.001754137964927466,0.97342,0.002765320957863688,0.9214800000000001,0.003567492116319254,0.0036999999999999256
